max_power,trm_len_6,engine_type_dissel,low_education_ind_0.0,marital_status_M,time_of_week_driven_weekday,time_driven_6am - 12pm,gender_F,veh_age_1,area_B,veh_age_4,veh_body_STNWG,agecat_3,area_A,veh_color_black,area_D,agecat_1,engine_type_hybrid,veh_color_yellow,agecat_2,veh_color_red,time_driven_6pm - 12am,veh_body_COUPE,veh_body_RDSTR,veh_body_UTE,veh_body_CONVT,driving_history_score,veh_body_HDTOP,veh_color_brown,claim_amt,claim_cnt,claim_sev,claim_freq,sample
103,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86.0,0,0,3700.462949,1,3700.462949,1.3325097605740333,1|bld
103,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2036.50924,1,2036.50924,2.6390893059125324,1|bld
100,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.0,0,0,4457.394339,1,4457.394339,1.379996282924812,1|bld
166,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0,0,2106.198866,1,2106.198866,2.630412774631205,1|bld
117,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0,0,0,2385.032897,1,2385.032897,2.1697805878596528,1|bld
186,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,2005.513276,1,2005.513276,2.868587315725931,1|bld
158,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,4207.836192,1,4207.836192,1.067934731797638,1|bld
208,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,4072.128346,1,4072.128346,1.3331417839667683,1|bld
185,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,4221.620338000001,1,4221.620338000001,1.1189262928306845,1|bld
84,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95.0,0,0,2352.430962,1,2352.430962,1.929679507056423,1|bld
125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,108.0,0,1,5160.663255,1,5160.663255,1.0031925660413252,1|bld
187,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,2410.835189,1,2410.835189,2.199674067254498,1|bld
203,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,82.0,0,0,2101.467572,1,2101.467572,2.2407364917234207,1|bld
201,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,67.0,0,1,3897.96578,1,3897.96578,1.4273148613479225,1|bld
197,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,74.0,0,0,4553.339494,1,4553.339494,1.0006356317710987,1|bld
190,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,117.0,0,0,2335.106509,1,2335.106509,3.020485026102548,1|bld
127,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.0,0,0,3158.583372,1,3158.583372,1.6028172423750855,1|bld
81,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,79.0,0,0,3365.838798,1,3365.838798,1.4119170002332346,1|bld
207,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55.0,1,0,5514.191151,1,5514.191151,1.080019738095127,1|bld
272,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,108.0,0,0,4449.887887,1,4449.887887,1.209779884784193,1|bld
108,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0,0,5222.946032999999,1,5222.946032999999,1.0294055342288864,1|bld
114,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,6239.430845000001,1,6239.430845000001,1.0115743968201636,1|bld
187,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.0,0,1,3920.114736,1,3920.114736,1.2290553573194416,1|bld
90,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2327.8939,1,2327.8939,2.0063820203131333,1|bld
98,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,98.0,0,0,2312.026136,1,2312.026136,2.155443363243638,1|bld
101,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,2291.742481,1,2291.742481,2.4250886949514205,1|bld
194,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,0,3799.691525,1,3799.691525,1.33545658109344,1|bld
154,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0,0,3661.298003,1,3661.298003,2.001330296255903,1|bld
148,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,4010.761057,1,4010.761057,1.3526621303095097,1|bld
129,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,87.0,0,0,4215.7824900000005,1,4215.7824900000005,1.1940080748903452,1|bld
184,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,1,4471.150082,1,4471.150082,1.3718446583415185,1|bld
85,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,1,3275.660581,1,3275.660581,1.5949885790603548,1|bld
158,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,116.0,0,0,3545.732343,1,3545.732343,1.1704468093730584,1|bld
131,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,4141.134198,1,4141.134198,1.0006759245654142,1|bld
290,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,1,0,2349.498773,1,2349.498773,2.2984747450306564,1|bld
194,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97.0,0,0,4471.813291,1,4471.813291,1.0378979586325072,1|bld
86,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70.0,0,0,4169.013887,1,4169.013887,1.0554998130271798,1|bld
128,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0,2024.805671,1,2024.805671,2.122743278452813,1|bld
116,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,127.0,0,0,3723.596149,1,3723.596149,1.0006307976548416,1|bld
107,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,3756.871601,1,3756.871601,1.19937778103774,1|bld
188,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,4590.552953,1,4590.552953,1.01169079532352,1|bld
268,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,105.0,0,0,4448.205484,1,4448.205484,1.243515706003779,1|bld
153,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,118.0,0,0,4058.357704,1,4058.357704,1.3692014736907148,1|bld
154,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,62.0,0,0,2804.0334780000003,1,2804.0334780000003,1.721339629330408,1|bld
204,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,3746.272853,1,3746.272853,1.644528425175537,1|bld
189,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,3046.298498,1,3046.298498,2.0013412408607287,1|bld
143,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126.0,0,0,2283.885062,1,2283.885062,2.337594565634957,1|bld
162,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,2000.707403,1,2000.707403,3.0941927951368027,1|bld
103,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,1,4012.718916,1,4012.718916,1.4363630105010992,1|bld
167,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,69.0,0,0,4055.37489,1,4055.37489,1.118215020557673,1|bld
106,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,89.0,0,0,3933.922603,1,3933.922603,1.0935825000693988,1|bld
181,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,3587.022026,1,3587.022026,1.7318878094784582,1|bld
137,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117.0,0,0,4511.593624,1,4511.593624,1.4752903435940146,1|bld
152,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,0,0,4598.242715,1,4598.242715,1.1877313574487853,1|bld
140,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,5141.480646,1,5141.480646,1.228750844555782,1|bld
163,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67.0,0,0,4987.977234,1,4987.977234,1.2227177480172327,1|bld
273,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75.0,0,0,4389.858341,1,4389.858341,1.0990240434600003,1|bld
178,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,75.0,0,0,2095.63585,1,2095.63585,2.0819895565488413,1|bld
180,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69.0,0,1,5608.079821,1,5608.079821,1.111552514790026,1|bld
140,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,70.0,0,0,3147.7640100000003,1,3147.7640100000003,1.9251241074571164,1|bld
74,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,84.0,0,0,2070.056121,1,2070.056121,2.522532337218611,1|bld
201,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,80.0,0,0,5021.360648,1,5021.360648,1.2088985596475355,1|bld
70,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,4175.411025,1,4175.411025,1.0108621331282484,1|bld
109,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,69.0,0,0,2448.088107,1,2448.088107,1.927697591962192,1|bld
119,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,2412.641251,1,2412.641251,1.720110970344683,1|bld
166,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,2062.424942,1,2062.424942,2.434978112876598,1|bld
148,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2138.279384,1,2138.279384,1.9844420497388453,1|bld
84,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,5979.375414,2,2989.687707,2.074995562388553,1|bld
125,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,2428.021985,1,2428.021985,1.5268344102017541,1|bld
154,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,86.0,0,0,2131.368269,1,2131.368269,3.1066777611307312,1|bld
138,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.0,0,0,2970.493749,1,2970.493749,2.008904743486549,1|bld
130,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85.0,0,0,2567.271972,1,2567.271972,2.4612260933249015,1|bld
110,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,111.0,0,0,2117.381644,1,2117.381644,1.8024828675175055,1|bld
131,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,76.0,0,0,4211.506568,1,4211.506568,1.1254111263300584,1|bld
115,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67.0,0,0,3866.380945,1,3866.380945,1.560652850302703,1|bld
133,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,3980.005943,1,3980.005943,1.1951531177229142,1|bld
152,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,76.0,0,0,2426.689522,1,2426.689522,1.9228760269061738,1|bld
105,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,114.0,0,0,2047.848309,1,2047.848309,1.618655486190215,1|bld
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,3984.665547,1,3984.665547,1.1528491286831422,1|bld
152,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55.0,0,0,2338.638679,1,2338.638679,2.729467816157836,1|bld
152,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,55.0,0,0,2142.498898,1,2142.498898,2.3068053170925995,1|bld
132,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55.0,0,0,3343.591482,1,3343.591482,1.7295064682071832,1|bld
134,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,3632.626779,1,3632.626779,1.6911575823476377,1|bld
84,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,4020.331339,1,4020.331339,1.5984052927777075,1|bld
163,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,67.0,0,0,2326.785341,1,2326.785341,1.9879145529916693,1|bld
73,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,2022.093527,1,2022.093527,2.153956076189523,1|bld
108,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,3753.703485,1,3753.703485,1.643509135374858,1|bld
101,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,71.0,0,0,3662.881233,1,3662.881233,1.8364201109899627,1|bld
77,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,82.0,0,0,3981.158567,1,3981.158567,1.5235062108442528,1|bld
148,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114.0,0,0,2415.664756,1,2415.664756,1.6022416026553656,1|bld
187,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,2330.062952,1,2330.062952,2.7706677287337977,1|bld
104,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,5324.727898,1,5324.727898,1.1998077768763742,1|bld
118,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,2293.216499,1,2293.216499,2.9677372608190176,1|bld
182,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,105.0,0,0,4180.216041,2,2090.1080205,2.754478850094986,1|bld
197,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,4558.993795,1,4558.993795,1.224507545280186,1|bld
113,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,111.0,0,0,2075.710474,1,2075.710474,1.900219096211903,1|bld
106,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0,0,2354.44564,1,2354.44564,2.6801296080661006,1|bld
127,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,5824.75072,1,5824.75072,1.2200476412987318,1|bld
111,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55.0,0,0,3541.045554,1,3541.045554,1.0006846073665991,1|bld
108,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,66.0,0,0,3307.23098,1,3307.23098,1.9012106822168668,1|bld
190,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,116.0,0,0,3619.990635,1,3619.990635,1.0006771692478789,1|bld
154,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,68.0,0,0,2409.369657,1,2409.369657,2.914206687661389,1|bld
76,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,106.0,0,0,3565.613618,1,3565.613618,1.1302262662803046,1|bld
158,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89.0,0,0,2000.720388,1,2000.720388,1.9739780696287248,1|bld
94,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63.0,0,0,2386.373004,1,2386.373004,1.6408494403859193,1|bld
125,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,71.0,0,0,3864.923261,1,3864.923261,1.0553834668968427,1|bld
119,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.0,0,0,6241.676048,1,6241.676048,1.0705475769173152,1|bld
133,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,4664.38162,1,4664.38162,1.3879513797800243,1|bld
184,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84.0,0,0,3984.557373,1,3984.557373,1.16259100104039,1|bld
118,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2078.9182840000003,1,2078.9182840000003,1.5906411282510415,1|bld
176,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,3691.928827,1,3691.928827,1.0664678793290912,1|bld
126,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2327.392292,1,2327.392292,1.6601568292715188,1|bld
179,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,0,0,2834.494438,1,2834.494438,1.5825789681860813,1|bld
177,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.0,0,0,3965.142052,1,3965.142052,1.0860760682030572,1|bld
199,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,0,3824.635762,1,3824.635762,1.278990729384061,1|bld
141,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,4727.405809,1,4727.405809,1.2951541607621344,1|bld
170,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,3055.487563,1,3055.487563,2.149446628458354,1|bld
135,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,92.0,0,0,6856.8610100000005,1,6856.8610100000005,1.0060556036106958,1|bld
