id,fold,sample,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0
1,2,1|bld,5.800000000000001,0.362190934,SUV,2,F,B,1,hybrid,161,73.0,black,M,0,weekday,12pm - 6pm,6,646.516468959908,0.0,1,1,2023.198184
15,4,2|val,6.09,0.3565439975,SEDAN,2,M,C,1,petrol,122,62.0,gray,M,1,weekend,6am - 12pm,6,642.8429432574177,0.0,1,1,2056.330796
16,2,1|bld,3.8400000000000003,0.816822092,STNWG,3,M,F,1,dissel,138,56.0,gray,S,1,weekend,6pm - 12am,12,643.6883787333937,0.0,1,1,4713.809284999999
17,1,1|bld,3.5100000000000007,0.842264353,STNWG,2,F,C,4,petrol,110,107.0,gray,S,1,weekday,6pm - 12am,12,640.0560071390347,1.0,1,1,4283.724092
18,1,1|bld,3.87,0.999323342,UTE,1,M,F,2,hybrid,208,120.0,black,M,1,weekend,6am - 12pm,12,642.0443592230812,1.0,1,1,3990.5053900000003
19,4,2|val,7.13,0.896205855,SEDAN,4,M,B,3,petrol,115,83.0,blue,S,1,weekday,6am - 12pm,12,655.7338989944487,0.0,1,1,4756.658716
20,3,1|bld,5.880000000000001,0.847057285,HDTOP,4,M,E,3,dissel,277,74.0,white,M,1,weekday,12pm - 6pm,12,642.4686817622343,0.0,1,1,4573.033445
21,2,1|bld,5.98,0.305243731,SUV,2,M,C,1,petrol,136,103.0,green,M,0,weekend,12pm - 6pm,6,641.8797743917615,0.0,1,1,2102.737282
22,2,1|bld,5.6000000000000005,0.735371574,STNWG,4,F,B,4,petrol,188,71.0,gray,S,0,weekday,12pm - 6pm,12,644.8391792006959,0.0,1,1,4181.198503
23,2,1|bld,4.98,0.858436385,STNWG,3,F,A,5,hybrid,127,115.0,white,S,0,weekday,6pm - 12am,12,656.8206502979498,0.0,1,1,3932.77235
24,1,1|bld,5.98,0.395132021,SEDAN,2,M,B,4,dissel,95,100.0,gray,M,1,weekday,6pm - 12am,6,643.9246877628967,0.0,1,1,2142.930175
25,4,2|val,6.37,0.401095894,SUV,3,M,A,3,petrol,183,63.0,gray,S,0,weekday,12pm - 6pm,12,642.5239233710312,0.0,1,1,2347.028119
26,4,2|val,5.0,0.744177781,STNWG,3,M,F,2,petrol,155,74.0,red,M,0,weekday,12pm - 6pm,12,654.4587079803767,0.0,1,1,3843.5501449999997
27,3,1|bld,5.95,0.676406179,SEDAN,3,F,A,2,petrol,129,77.0,black,M,1,weekend,12pm - 6pm,12,633.9448944895106,0.0,1,1,3632.123494
28,2,1|bld,1.8500000000000005,0.964230091,STNWG,1,F,D,6,petrol,112,102.0,blue,S,1,weekday,6am - 12pm,12,640.012065334105,1.0,1,1,4241.361275
29,1,1|bld,6.050000000000001,0.991231851,SUV,3,F,C,5,electric,110,80.0,white,S,1,weekday,6am - 12pm,12,646.1302694999514,1.0,1,1,5825.740709000001
30,2,1|bld,6.5600000000000005,0.706479639,STNWG,4,M,A,3,petrol,197,75.0,white,S,1,weekend,6am - 12pm,12,640.6380163082382,0.0,1,1,3540.4523560000002
31,1,1|bld,6.75,0.425290028,SUV,3,M,C,1,hybrid,152,93.0,green,S,1,weekday,12pm - 6pm,12,640.2044695128186,0.0,1,1,2314.691121
32,4,2|val,6.130000000000001,0.8968974,COUPE,3,M,C,4,petrol,213,93.0,yellow,S,1,weekend,6am - 12pm,12,644.3898819356817,1.0,1,1,4281.441775
33,4,2|val,6.42,0.974123917,SUV,3,F,E,2,petrol,184,95.0,white,S,1,weekday,12pm - 6pm,12,660.989617351408,1.0,1,1,4618.196649
34,1,1|bld,6.300000000000001,0.827622104,SUV,3,M,B,2,dissel,184,57.0,blue,S,1,weekday,6am - 12pm,12,663.0891266521792,0.0,1,1,4341.766331
35,4,2|val,6.17,0.824126615,SEDAN,2,M,A,5,petrol,101,117.0,white,M,1,weekend,6am - 12pm,12,642.7069666184917,0.0,1,1,4160.193278
36,1,1|bld,3.4400000000000004,0.853350702,STNWG,3,M,F,4,petrol,189,81.0,white,S,1,weekend,12pm - 6pm,12,675.1706931719897,0.0,1,1,4152.930829
37,3,1|bld,5.800000000000001,0.440128088,SUV,2,M,A,3,petrol,157,96.0,blue,S,1,weekend,6am - 12pm,12,645.3205856815472,0.0,1,1,2356.159931
38,1,1|bld,5.800000000000001,0.4226038405,SEDAN,2,M,A,3,hybrid,78,106.0,gray,S,1,weekend,6am - 12pm,6,641.567341745452,1.0,1,1,2124.8730610000002
39,4,2|val,6.8100000000000005,0.954126519,COUPE,4,M,B,3,dissel,221,81.0,blue,S,1,weekday,6am - 12pm,12,641.3475598517056,1.0,1,1,5642.523295
40,1,1|bld,5.45,0.744047385,STNWG,3,F,F,5,dissel,110,64.0,black,S,1,weekday,12pm - 6pm,12,649.9460986271515,0.0,1,1,4049.930534
41,2,1|bld,5.220000000000001,0.941399859,SEDAN,3,M,B,3,petrol,93,60.0,black,S,0,weekday,12pm - 6pm,12,648.9662040869492,1.0,1,1,4687.000918
42,4,2|val,7.0600000000000005,0.99933439,SUV,4,F,C,4,electric,195,82.0,white,S,0,weekday,12pm - 6pm,12,642.1361581771598,1.0,1,1,4995.089948
43,4,2|val,5.43,0.412244478,SUV,2,M,B,1,petrol,134,65.0,white,M,1,weekday,6am - 12pm,12,655.7944107386145,0.0,1,1,2290.813354
44,4,2|val,6.19,0.490076315,SUV,2,M,C,6,petrol,190,91.0,gray,S,1,weekend,6am - 12pm,12,645.7242393255254,0.0,1,1,2426.4764299999997
45,2,1|bld,6.800000000000001,0.560896563,SEDAN,3,M,C,6,petrol,142,104.0,brown,S,0,weekday,12pm - 6pm,12,663.9836594260213,0.0,1,1,3388.415392
46,3,1|bld,5.45,0.81243191,STNWG,4,M,C,3,petrol,123,68.0,silver,M,1,weekday,6pm - 12am,12,634.5211988695647,0.0,1,1,4745.091294
47,4,2|val,4.17,0.84440063,STNWG,1,F,B,3,petrol,121,109.0,gray,S,0,weekday,6pm - 12am,12,642.6232528983084,1.0,1,1,4348.798457
48,3,1|bld,6.0,0.477759658,SEDAN,3,M,A,3,electric,103,102.0,gray,S,0,weekday,6am - 12pm,12,637.9799097678451,0.0,1,1,2352.980935
49,3,1|bld,5.24,0.599815433,SUV,2,F,A,5,petrol,199,73.0,white,M,0,weekend,12pm - 6pm,12,651.4585326544482,0.0,1,1,4011.46246
50,4,2|val,5.890000000000001,0.4488747195,SEDAN,2,F,A,6,hybrid,97,83.0,gray,M,0,weekday,6am - 12pm,6,722.237528977643,1.0,1,1,2336.3903020000002
51,2,1|bld,5.67,0.750463546,PANVN,3,F,D,3,petrol,103,86.0,gray,S,1,weekday,6am - 12pm,12,655.8344987674237,0.0,1,1,3700.462949
52,2,1|bld,4.18,0.3789185905,STNWG,2,M,E,5,dissel,103,84.0,silver,M,1,weekday,6am - 12pm,6,656.0763593755547,0.0,1,1,2036.50924
53,1,1|bld,3.41,0.724639633,STNWG,2,M,C,4,petrol,100,63.0,black,S,1,weekday,6am - 12pm,12,644.4570276996458,0.0,1,1,4457.394339
54,1,1|bld,2.6500000000000004,0.38016847,STNWG,1,F,A,3,petrol,166,65.0,white,S,1,weekend,12pm - 6pm,12,648.6307406000991,0.0,1,1,2106.198866
55,1,1|bld,5.23,0.460876093,SUV,2,F,C,5,dissel,117,117.0,white,M,1,weekday,12pm - 6pm,12,679.8490736727233,0.0,1,1,2385.032897
56,4,2|val,5.48,0.4695758485,STNWG,2,F,A,3,petrol,175,128.0,green,S,1,weekday,12pm - 6pm,6,648.3853961063268,1.0,1,1,2399.810713
57,3,1|bld,7.15,0.348603647,SUV,4,F,C,4,petrol,186,90.0,silver,S,0,weekday,12pm - 6pm,12,644.4689251698194,0.0,1,1,2005.5132760000001
58,3,1|bld,5.96,0.936386813,SEDAN,2,M,C,4,petrol,158,90.0,blue,M,1,weekend,6am - 12pm,12,649.9417425996974,1.0,1,1,4207.836192
59,3,1|bld,4.2,0.750107762,STNWG,2,F,E,4,petrol,208,55.0,gray,S,1,weekday,6am - 12pm,12,655.570099670897,0.0,1,1,4072.128346
60,4,2|val,3.7700000000000005,0.870954829,STNWG,1,M,D,5,dissel,158,91.0,green,S,0,weekday,6pm - 12am,12,643.2018938783685,0.0,1,1,4644.29298
61,1,1|bld,5.28,0.893713917,STNWG,3,F,B,6,dissel,185,91.0,white,S,0,weekday,12pm - 6pm,12,637.4308575627293,1.0,1,1,4221.620338000001
62,4,2|val,5.94,0.791600956,SEDAN,1,M,E,1,dissel,149,70.0,red,S,1,weekend,6pm - 12am,12,644.9476099074108,0.0,1,1,4212.990159
63,1,1|bld,6.67,0.51822077,SEDAN,3,M,B,4,petrol,84,95.0,red,S,0,weekday,12pm - 6pm,12,701.535588601173,0.0,1,1,2352.430962
64,3,1|bld,6.2700000000000005,0.996817594,SEDAN,2,F,C,1,petrol,125,108.0,brown,S,1,weekday,6pm - 12am,12,677.3266022360101,1.0,1,1,5160.6632549999995
65,3,1|bld,4.57,0.454612806,STNWG,3,F,A,3,dissel,187,83.0,black,S,1,weekday,12pm - 6pm,6,641.7582232810753,1.0,1,1,2410.835189
66,2,1|bld,4.540000000000001,0.446281838,STNWG,1,F,C,6,petrol,203,82.0,black,M,0,weekend,6pm - 12am,12,646.5941126085249,0.0,1,1,2101.467572
67,2,1|bld,5.48,0.70061626,SUV,2,M,A,1,petrol,201,67.0,brown,M,1,weekday,12pm - 6pm,12,654.2106268905214,0.0,1,1,3897.96578
68,1,1|bld,4.99,0.999364772,STNWG,3,F,F,2,dissel,197,74.0,black,S,1,weekday,12pm - 6pm,12,641.4460137880324,1.0,1,1,4553.339494
69,2,1|bld,7.07,0.331072656,COUPE,4,M,A,2,petrol,190,117.0,gray,S,0,weekday,6am - 12pm,12,644.3913861800547,0.0,1,1,2335.106509
70,1,1|bld,6.41,0.623901449,SUV,4,F,D,3,petrol,127,91.0,gray,M,1,weekday,6am - 12pm,12,648.1602348654342,0.0,1,1,3158.583372
71,3,1|bld,5.53,0.70825693,PANVN,2,F,A,1,petrol,81,79.0,blue,M,1,weekday,12am - 6 am,12,641.61841201001,0.0,1,1,3365.8387979999998
72,3,1|bld,5.300000000000001,0.925909004,HDTOP,3,F,D,5,dissel,207,55.0,green,S,0,weekday,6am - 12pm,12,635.8224363493529,1.0,1,1,5514.191151
73,2,1|bld,5.17,0.82659665,UTE,3,F,E,1,petrol,272,108.0,white,S,1,weekday,12pm - 6pm,12,645.9621852230766,0.0,1,1,4449.887887
74,3,1|bld,6.07,0.971434451,SUV,3,F,B,4,petrol,108,87.0,gray,S,0,weekday,6am - 12pm,12,640.0305906744588,1.0,1,1,5222.946032999999
75,3,1|bld,5.75,0.988558037,SUV,2,M,A,5,petrol,114,98.0,white,S,1,weekday,12pm - 6pm,12,642.6840961992519,1.0,1,1,6239.430845000001
76,2,1|bld,4.300000000000001,0.813633002,STNWG,3,F,E,2,petrol,187,82.0,brown,S,0,weekday,12pm - 6pm,12,631.7410550485296,0.0,1,1,3920.114736
77,1,1|bld,5.96,0.49840957,SEDAN,2,M,C,3,petrol,90,79.0,silver,M,1,weekday,6am - 12pm,6,658.1588038693627,1.0,1,1,2327.8939
78,2,1|bld,5.74,0.463941673,SEDAN,2,M,B,5,hybrid,98,98.0,black,M,1,weekday,12pm - 6pm,6,637.6159191392436,1.0,1,1,2312.026136
79,4,2|val,4.93,0.434314842,STNWG,3,M,D,3,petrol,149,65.0,white,S,0,weekday,12pm - 6pm,12,649.4845363640991,0.0,1,1,2132.634117
80,3,1|bld,5.99,0.412356052,SEDAN,1,M,C,4,petrol,101,85.0,gray,S,1,weekday,12pm - 6pm,12,655.8377523279191,0.0,1,1,2291.742481
81,4,2|val,5.91,0.757545271,HDTOP,3,M,F,2,dissel,285,121.0,gray,S,1,weekday,6am - 12pm,12,656.078746955815,0.0,1,1,4249.450463
82,4,2|val,6.82,0.679682225,STNWG,4,M,B,2,dissel,135,69.0,silver,M,1,weekday,6am - 12pm,12,641.8017434411331,0.0,1,1,4490.994465
83,2,1|bld,5.8100000000000005,0.748807572,SUV,2,F,C,4,dissel,194,105.0,white,S,1,weekday,12pm - 6pm,12,652.2564969012557,0.0,1,1,3799.691525
84,3,1|bld,2.24,0.499667647,STNWG,1,M,C,5,petrol,154,56.0,gray,M,1,weekday,12pm - 6pm,6,664.9088950784688,1.0,1,1,3661.298003
85,4,2|val,6.19,0.653021553,UTE,4,M,C,3,petrol,171,84.0,silver,M,0,weekday,6am - 12pm,12,651.1533239522983,0.0,1,1,3740.619228
86,1,1|bld,3.58,0.739282913,STNWG,3,M,C,3,petrol,148,61.0,black,M,1,weekend,6am - 12pm,12,645.2565066404167,0.0,1,1,4010.761057
87,4,2|val,5.87,0.3939294565,SEDAN,2,F,B,4,dissel,86,80.0,red,S,1,weekday,6am - 12pm,6,641.5083094069685,0.0,1,1,2381.605304
88,1,1|bld,1.9100000000000001,0.837515274,STNWG,1,F,D,3,petrol,129,87.0,white,S,1,weekday,12pm - 6pm,12,659.5436034828788,0.0,1,1,4215.7824900000005
89,2,1|bld,7.03,0.728945507,STNWG,4,F,C,4,petrol,184,82.0,brown,S,1,weekday,6am - 12pm,12,648.3318105926559,0.0,1,1,4471.150082
90,3,1|bld,6.550000000000001,0.626963737,SEDAN,3,F,A,6,petrol,85,55.0,brown,S,1,weekday,6am - 12pm,12,643.7986871834022,0.0,1,1,3275.660581
91,1,1|bld,5.92,0.854374579,STNWG,2,M,D,3,electric,158,116.0,blue,M,1,weekday,6am - 12pm,12,646.5154667595715,0.0,1,1,3545.732343
92,3,1|bld,6.16,0.999324532,SEDAN,2,M,C,4,electric,131,94.0,black,M,1,weekday,6am - 12pm,12,655.7801055729391,1.0,1,1,4141.134198
93,2,1|bld,6.5600000000000005,0.435071128,HDTOP,4,M,B,4,petrol,290,69.0,white,M,1,weekday,6am - 12pm,6,652.7585755028931,1.0,1,1,2349.498773
94,4,2|val,5.220000000000001,0.43468042,SUV,1,M,C,1,petrol,168,84.0,white,M,1,weekday,6pm - 12am,12,649.467824921495,0.0,1,1,2054.327712
95,4,2|val,4.2700000000000005,0.621717551,STNWG,3,F,B,4,dissel,107,66.0,gray,M,1,weekday,6am - 12pm,12,680.1775473436094,0.0,1,1,3699.116912
96,1,1|bld,6.8100000000000005,0.963485853,UTE,4,F,E,4,electric,194,97.0,white,S,1,weekday,6am - 12pm,12,641.6330227698618,1.0,1,1,4471.813291
97,3,1|bld,6.0600000000000005,0.947418453,SEDAN,2,M,C,2,petrol,86,70.0,black,S,1,weekday,12pm - 6pm,12,647.9704275831083,1.0,1,1,4169.013887
98,4,2|val,5.28,0.398173516,MIBUS,3,F,B,3,dissel,189,102.0,black,M,0,weekday,12am - 6 am,12,642.0424538862802,0.0,1,1,2063.453663
99,1,1|bld,6.550000000000001,0.471088525,SEDAN,3,F,C,4,hybrid,128,90.0,gray,M,1,weekday,6am - 12pm,6,652.5185508817328,1.0,1,1,2024.805671
100,4,2|val,5.65,0.447723205,SEDAN,2,F,A,3,petrol,151,96.0,gray,M,1,weekend,12am - 6 am,12,671.7236369773151,0.0,1,1,2356.19348
101,2,1|bld,5.9,0.9993696,SEDAN,1,M,D,3,petrol,116,127.0,black,S,1,weekday,6am - 12pm,12,645.2075339954285,1.0,1,1,3723.596149
102,1,1|bld,3.85,0.833765654,STNWG,2,F,C,4,dissel,107,81.0,white,M,0,weekday,12pm - 6pm,12,643.8369679261295,0.0,1,1,3756.8716010000003
103,3,1|bld,6.28,0.9884443,SUV,3,F,C,3,dissel,188,81.0,gray,M,1,weekday,12pm - 6pm,12,678.1217489316774,1.0,1,1,4590.552953
104,1,1|bld,4.67,0.804171588,TRUCK,3,M,A,1,dissel,268,105.0,white,S,0,weekday,12pm - 6pm,12,645.5802303829101,0.0,1,1,4448.205484
105,1,1|bld,3.89,0.730352705,STNWG,2,M,A,2,petrol,153,118.0,blue,M,1,weekday,6pm - 12am,12,642.4939938393511,0.0,1,1,4058.357704
106,1,1|bld,3.8600000000000003,0.580942879,STNWG,2,M,B,2,petrol,154,62.0,gray,S,1,weekday,6pm - 12am,12,654.4515121774687,0.0,1,1,2804.0334780000003
107,1,1|bld,5.17,0.608077054,SUV,2,F,A,5,petrol,204,64.0,gray,M,1,weekday,12pm - 6pm,12,640.2961462819086,0.0,1,1,3746.272853
108,4,2|val,5.73,0.3679682265,SUV,2,M,A,5,electric,162,58.0,white,S,1,weekday,12pm - 6pm,6,644.9901591246556,0.0,1,1,2076.095357
109,2,1|bld,7.13,0.4996649145,SUV,4,M,B,5,petrol,189,75.0,gray,S,1,weekday,6am - 12pm,6,647.8309837054312,1.0,1,1,3046.298498
110,3,1|bld,4.62,0.42779018,SEDAN,1,F,C,4,petrol,143,126.0,black,M,1,weekday,12pm - 6pm,6,667.1184860039128,0.0,1,1,2283.885062
111,1,1|bld,6.04,0.323186067,SUV,3,F,A,5,petrol,162,70.0,gray,M,1,weekday,6am - 12pm,12,642.0826064100407,0.0,1,1,2000.707403
112,4,2|val,5.9,0.839646477,SUV,1,M,A,4,petrol,118,66.0,white,M,1,weekday,6am - 12pm,12,646.2136435922221,0.0,1,1,4150.869662
113,4,2|val,4.7,0.388952848,HDTOP,3,M,F,2,petrol,228,89.0,gray,S,1,weekend,12pm - 6pm,12,647.4003784853335,0.0,1,1,2309.679421
114,4,2|val,6.74,0.4795398575,SEDAN,3,M,B,3,petrol,90,103.0,red,S,0,weekday,6am - 12pm,6,656.004473869118,1.0,1,1,2082.9989100000003
115,3,1|bld,4.970000000000001,0.696202835,SUV,1,M,B,3,dissel,103,55.0,brown,S,0,weekday,12pm - 6pm,12,642.0575405982682,0.0,1,1,4012.718916
116,4,2|val,6.140000000000001,0.861118688,SEDAN,1,M,A,1,petrol,113,135.0,white,S,0,weekend,6am - 12pm,12,662.2788689954926,1.0,1,1,3484.665127
117,1,1|bld,7.04,0.894282389,STNWG,4,F,A,2,dissel,167,69.0,gray,S,0,weekday,6am - 12pm,12,641.3352020564716,0.0,1,1,4055.37489
118,4,2|val,6.23,0.4996667275,SEDAN,2,F,A,4,petrol,152,96.0,brown,M,0,weekday,12pm - 6pm,6,642.7625618061352,1.0,1,1,2941.359361
119,4,2|val,3.91,0.9082297,MCARA,3,M,D,5,dissel,119,96.0,silver,S,0,weekend,6pm - 12am,12,654.7470299022516,1.0,1,1,3695.709015
120,3,1|bld,6.180000000000001,0.914425752,SEDAN,1,M,D,5,electric,106,89.0,yellow,M,0,weekday,12pm - 6pm,12,654.7341784166997,1.0,1,1,3933.922603
121,1,1|bld,4.720000000000001,0.577404607,STNWG,1,M,A,5,petrol,181,78.0,white,M,1,weekday,12pm - 6pm,12,642.3806898190975,0.0,1,1,3587.022026
122,1,1|bld,5.65,0.677832675,SUV,3,M,E,5,petrol,137,117.0,red,M,1,weekday,12pm - 6pm,12,645.9771560551544,0.0,1,1,4511.593624
123,4,2|val,4.53,0.742708944,SUV,1,F,D,6,electric,112,73.0,white,S,1,weekend,6am - 12pm,12,648.9274835484748,0.0,1,1,4483.611529
124,3,1|bld,5.86,0.84194123,SEDAN,2,F,B,4,electric,152,97.0,white,M,0,weekday,6am - 12pm,12,648.2312821822691,0.0,1,1,4598.242715
125,1,1|bld,5.48,0.813834639,STNWG,4,F,E,3,dissel,140,84.0,white,M,0,weekend,12pm - 6pm,12,644.0604485483341,0.0,1,1,5141.480646
126,3,1|bld,4.62,0.817850237,STNWG,3,M,D,4,petrol,163,67.0,silver,S,1,weekend,12pm - 6pm,12,641.5534563633078,0.0,1,1,4987.977234
127,3,1|bld,6.03,0.909898201,UTE,4,M,E,2,petrol,273,75.0,white,S,1,weekend,6am - 12pm,12,634.0624816230198,1.0,1,1,4389.858341
128,2,1|bld,5.880000000000001,0.480309806,SUV,2,M,D,6,petrol,178,75.0,white,M,1,weekday,6pm - 12am,12,659.4594989694298,0.0,1,1,2095.6358499999997
129,1,1|bld,4.73,0.899642605,STNWG,2,F,C,2,petrol,180,69.0,brown,S,1,weekday,12am - 6 am,12,642.4492014585463,1.0,1,1,5608.079821
130,2,1|bld,6.470000000000001,0.51944703,SUV,3,M,C,1,petrol,140,70.0,black,M,1,weekday,6am - 12pm,12,663.0718663971372,0.0,1,1,3147.7640100000003
131,2,1|bld,6.01,0.396427029,SEDAN,3,M,B,4,petrol,74,84.0,black,S,1,weekday,6pm - 12am,12,638.227835006228,0.0,1,1,2070.056121
132,4,2|val,4.37,0.894520269,STNWG,3,F,B,6,petrol,110,93.0,gray,S,0,weekday,12pm - 6pm,12,640.0704003158958,1.0,1,1,4879.889479
133,1,1|bld,6.29,0.827199265,UTE,4,F,B,5,electric,201,80.0,black,M,1,weekday,6am - 12pm,12,648.1719310860617,0.0,1,1,5021.360648
134,3,1|bld,6.19,0.989254585,SEDAN,2,M,A,5,petrol,70,76.0,black,M,0,weekday,12pm - 6pm,12,640.8729211430563,1.0,1,1,4175.411025
135,4,2|val,6.19,0.999359745,SEDAN,2,M,A,4,petrol,146,56.0,green,S,1,weekday,12pm - 6pm,12,643.1128309580679,1.0,1,1,4382.350944
136,1,1|bld,6.07,0.518753566,SUV,3,M,C,2,petrol,109,69.0,black,S,0,weekday,12pm - 6pm,12,655.526122014422,0.0,1,1,2448.088107
137,4,2|val,6.46,0.999329178,TRUCK,4,M,E,4,dissel,310,55.0,blue,M,0,weekend,12pm - 6pm,12,647.4720514511951,1.0,1,1,4259.241164
138,3,1|bld,6.1000000000000005,0.581357841,SEDAN,2,M,C,3,dissel,119,85.0,gray,S,1,weekday,12pm - 6pm,12,663.2956653434067,0.0,1,1,2412.641251
139,3,1|bld,5.74,0.4106813095,SUV,2,F,A,3,petrol,166,67.0,black,S,1,weekday,6am - 12pm,6,657.6863906159044,0.0,1,1,2062.424942
140,3,1|bld,5.890000000000001,0.503919981,STNWG,3,M,C,3,petrol,148,80.0,white,S,1,weekday,12pm - 6pm,12,668.2664797052969,0.0,1,1,2138.279384
141,4,2|val,6.2700000000000005,0.730887418,HDTOP,4,F,D,2,petrol,258,93.0,gray,S,1,weekday,6am - 12pm,12,667.2513287165933,0.0,1,1,4058.399107
142,3,1|bld,5.540000000000001,0.963857483,SEDAN,2,M,A,3,petrol,84,82.0,black,S,1,weekday,12pm - 6pm,12,641.3701469035141,1.0,1,2,5979.375414
143,2,1|bld,5.65,0.654949871,SUV,1,M,A,3,dissel,125,125.0,black,M,1,weekday,12pm - 6pm,12,643.0027350008652,0.0,1,1,2428.021985
144,2,1|bld,5.57,0.3218872625,SEDAN,1,M,E,3,petrol,154,86.0,black,M,0,weekday,6pm - 12am,6,643.9437454054415,0.0,1,1,2131.368269
145,2,1|bld,5.82,0.497783682,SEDAN,1,M,B,4,hybrid,138,103.0,white,S,1,weekday,12pm - 6pm,12,652.7436410206691,0.0,1,1,2970.4937489999998
146,4,2|val,6.61,0.3809559385,SUV,4,M,C,5,petrol,175,78.0,black,S,0,weekday,6pm - 12am,6,648.9457359380418,0.0,1,1,2311.206753
147,2,1|bld,5.66,0.4063015595,SUV,2,M,C,4,hybrid,130,85.0,silver,M,1,weekday,6am - 12pm,6,643.9885864693699,0.0,1,1,2567.2719719999996
148,1,1|bld,3.37,0.554790294,STNWG,1,M,A,3,petrol,110,111.0,green,M,1,weekday,6pm - 12am,12,643.920063407553,0.0,1,1,2117.381644
149,4,2|val,6.6000000000000005,0.4727671165,SEDAN,3,M,C,2,electric,89,92.0,blue,S,0,weekday,6am - 12pm,6,642.8934421256076,1.0,1,1,3051.3912900000005
150,3,1|bld,5.86,0.888564167,SUV,3,F,C,2,hybrid,131,76.0,gray,S,1,weekday,12pm - 6pm,12,636.825722153254,1.0,1,1,4211.506568
151,2,1|bld,3.46,0.640757488,STNWG,2,M,C,5,hybrid,115,67.0,gray,M,1,weekday,12pm - 6pm,12,641.2541458149899,0.0,1,1,3866.3809450000003
152,2,1|bld,5.460000000000001,0.836712874,STNWG,4,F,F,4,petrol,133,74.0,white,S,1,weekday,12pm - 6pm,12,643.02108481477,0.0,1,1,3980.005943
153,3,1|bld,6.6000000000000005,0.520054328,SUV,3,F,A,2,dissel,152,76.0,white,S,1,weekday,12pm - 6pm,12,656.5978337533962,0.0,1,1,2426.689522
154,2,1|bld,6.800000000000001,0.617796689,SEDAN,3,M,D,3,hybrid,105,114.0,gray,M,1,weekday,6am - 12pm,12,639.9683602981929,0.0,1,1,2047.848309
155,3,1|bld,5.69,0.867416191,SEDAN,2,M,C,6,petrol,98,92.0,gray,S,1,weekend,12pm - 6pm,12,642.9148947372676,1.0,1,1,3984.665547
156,1,1|bld,6.04,0.3663717865,SEDAN,1,F,B,2,petrol,152,55.0,blue,S,1,weekday,6am - 12pm,6,646.0286134482122,0.0,1,1,2338.638679
157,4,2|val,5.94,0.4272256065,STNWG,4,F,C,2,dissel,168,55.0,white,M,1,weekday,6am - 12pm,6,645.93342360478,1.0,1,1,2006.655337
